"MimosaID","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice"
"NE1020X003747X1","2021-08-06","Terrain/bureau OIM","Low","Low","No","Pire","Non","Satisfait","Burkina Faso","Algerie","Masculin","14-35",2,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X038018X1","2021-08-06","Terrain/bureau OIM","Low","Low","No","Identique","Non","OK","Burkina Faso","Algerie","Masculin","36+",6,"Non","Mixte","Elevage","Moi uniquement","Oui","Non","0","Non","Non"
"NE1019X041933X1","2021-08-06","Terrain/bureau OIM","Low","Low","No","Identique","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","14-35",1,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X021456X1","2021-08-06","Terrain/bureau OIM","Low","Low","No","Pire","Oui","OK","Burkina Faso","Algerie","Masculin","14-35",2,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"CH5019X032117X1","2021-08-08","Terrain/bureau OIM","Low","Low","No","Identique","Oui","OK","Burkina Faso","Lybie","Masculin","14-35",6,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"DZ1020FA2B9AC20A1F","2021-08-08","Terrain/bureau OIM","Low","Low","No","Identique","Oui","OK","Burkina Faso","Algerie","Masculin","14-35",5,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"NE1020X015756X1","2021-08-08","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Burkina Faso","Maroc","Masculin","14-35",0,"Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1021X047479X1","2021-08-08","Terrain/bureau OIM","Low","Low","No","Pire","Oui","OK","Burkina Faso","Algerie","Masculin","14-35",0,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X015757","2021-08-11","Terrain/bureau OIM","High","High","No","Pire","Non","Très satisfait","Burkina Faso","Algerie","Masculin","14-35",3,"Non","Mixte","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Non","Non"
"NE1020X016515X1","2021-08-09","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Burkina Faso","Lybie","Masculin","14-35",0,"Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Non"
"NE1019X025182X1","2021-08-09","Terrain/bureau OIM","Low","Low","No","Identique","Oui","OK","Burkina Faso","Algerie","Masculin","14-35",2,"Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Non","Non"
"NE1019X068423X1","2021-08-09","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"NE1019X018416X1","2021-08-09","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X058916X1","2021-08-09","Terrain/bureau OIM","High","High","No","Identique","Oui","Satisfait","Burkina Faso","Lybie","Masculin","14-35",2,"Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui"
"NE1019X018501X1","2021-08-12","Terrain/bureau OIM","Low","Low","No","Identique","Oui","Satisfait","Burkina Faso","Algerie","Masculin","36+",1,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"CH5017X026584X1","2021-08-12","Terrain/bureau OIM","Low","Low","No","Identique","Partiellement","OK","Burkina Faso","Lybie","Masculin","14-35",4,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"NE1020X021460X1","2021-08-12","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X011089X1","2021-08-12","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","14-35",1,"Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X015751X1","2021-08-12","Terrain/bureau OIM","Low","Low","No","Identique","Oui","OK","Burkina Faso","Maroc","Masculin","14-35",1,"Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Non"
"NE1020X021464X1","2021-08-12","Terrain/bureau OIM","Low","Low","No","Identique","Partiellement","Satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X078458X1","2021-08-13","Terrain/bureau OIM","Low","Low","No","Pire","Partiellement","Satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"CH5017X017728X1","2021-08-13","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Satisfait","Burkina Faso","Lybie","Masculin","14-35",3,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"CH5017X037524X1","2021-08-13","Terrain/bureau OIM","Low","Low","No","Identique","Oui","Satisfait","Burkina Faso","Lybie","Masculin","36+",2,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"NE1019X076285X1","2021-08-13","Terrain/bureau OIM","Low","Low","No","Identique","Partiellement","Satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"NE1019X078451X1","2021-08-13","Terrain/bureau OIM","Low","Low","No","Identique","Non","OK","Burkina Faso","Lybie","Féminin","14-35",5,"Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Non","Oui"
"NE1019X078450X1","2021-08-13","Terrain/bureau OIM","Low","Low","No","Identique","Oui","Satisfait","Burkina Faso","Lybie","Masculin","14-35",5,"Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Non"
"DZ1020CF2897C1F060","2021-08-16","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","14-35",3,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X001308X1","2021-08-16","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","36+",0,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"NE1021X047473X1","2021-08-17","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Oui","En espèces","Elevage","Moi uniquement","Oui","Non","0","Non","Oui"
"NE1020X009443X1","2021-08-19","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"NE1019X020392X1","2021-08-10","Terrain/bureau OIM","Low","Low","No","Mieux","Oui","Satisfait","Burkina Faso","Niger","Masculin","14-35",1,"Oui","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"LY10186640FAB6EFB2","2021-08-10","Terrain/bureau OIM","High","Low","No","Pire","Oui","OK","Burkina Faso","Niger","Masculin","14-35",0,"Oui","Mixte","Elevage","Moi uniquement","Non","Autre","1","Non","Oui"
"NE101958018B215D31","2021-08-10","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Burkina Faso","Niger","Masculin","14-35",2,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X024698X1","2021-08-11","Terrain/bureau OIM","Low","Low","No","Identique","Non","OK","Burkina Faso","Niger","Masculin","14-35",4,"Oui","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
"NE1019X037439X1","2021-08-12","Terrain/bureau OIM","Low","Low","No","Identique","Non","Pas satisfait","Burkina Faso","Niger","Masculin","14-35",2,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Non"
NA,"2021-08-12","Terrain/bureau OIM","Low","High","No","Pire","Oui","Satisfait","Burkina Faso","Niger","Masculin","14-35",2,"Non","Mixte","Autre","Moi uniquement","Non","Non","0","Non","Non"
"NE1020X005758X1","2021-08-12","Terrain/bureau OIM","High","Low","No","Pire","Non","Satisfait","Burkina Faso","Niger","Masculin","14-35",2,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X007020X1","2021-08-14","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Satisfait","Burkina Faso","Niger","Masculin","14-35",1,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X063988X1","2021-08-23","Terrain/bureau OIM","Low","Low","No","Pire","Partiellement","OK","Burkina Faso","Niger","Masculin","14-35",1,"Non","Mixte","Autre","Moi uniquement","Non","Non","0","Non","Non"
"NE1019X037444X1","2021-08-23","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Burkina Faso","Niger","Masculin","14-35",1,"Non","Mixte","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X040512","2021-10-01","Par téléphone","High","High","No","Identique","Oui","Très satisfait","Sénégal","Niger","Masculin","14-35",0,"Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Non","Oui"
"MA1018002363","2021-09-22","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","36+",4,"Non","En nature","Agriculture/aviculture","Moi et d'autres","Oui","Autre","1","Oui","Oui"
"MA1021001037","2021-09-08","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",3,"Non","En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui"
"MA1020003723","2021-09-09","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",6,"Non","En nature","Elevage","Moi et d'autres","Oui","Non","0","Non","Oui"
"MA10210019CF086D32","2021-09-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",3,"Non","En nature","Elevage","Moi uniquement","Non","Autre","1","Non","Oui"
"MA1020003725","2021-09-09","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",1,"Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Non","Oui"
"MA1020003702","2021-09-10","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","En nature","Commerce","Moi et d'autres","Non","Autre","1","Non","Oui"
"MA1021001381","2021-09-13","Par téléphone","High","Low","No","Identique","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",3,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"MA1021003149","2021-09-13","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Autre","Maroc","Masculin","14-35",1,"Non","Mixte","Commerce","Moi et d'autres","Non","Non","0","Non","Oui"
"MA1021001061","2021-09-09","Par téléphone","Low","Low","Yes","Pire","Oui","OK","Sénégal","Maroc","Masculin","36+",4,"Non","Mixte","Agriculture/aviculture","Moi et d'autres","Oui","Non","0","Oui","Oui"
"MA1021001731","2021-09-09","Par téléphone","Low","Low","No","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","Mixte","Autre","Moi et d'autres","Oui","Non","0","Non","Oui"
"MA1021001122","2021-09-13","Par téléphone","Low","Low","Yes","Pire","Partiellement","Satisfait","Sénégal","Maroc","Masculin","14-35",6,"Non","Mixte","Elevage","Moi et d'autres","Oui","Autre","1+","Oui","Oui"
"MA1021001158","2021-09-13","Par téléphone","Low","Low","No","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","Mixte","Transport","Moi uniquement","Oui","Non","0","Oui","Oui"
"MA1021002336","2021-09-08","Par téléphone","High","High","No","Pire","Oui","Satisfait","Sénégal","Maroc","Féminin","14-35",2,"Oui","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"MA1021003022","2021-09-09","Par téléphone","Low","Low","Yes","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Non","Oui"
"MA1021001244","2021-09-08","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","14-35",3,"Non","Mixte","Commerce","Moi uniquement","Oui","Autre","1+","Non","Oui"
"MA1020003875","2021-09-10","Par téléphone","Low","High","No","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","14-35",4,"Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui"
"MA1021002884","2021-09-13","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Autre","Maroc","Masculin","14-35",2,"Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Non","Oui"
"MA1020DE573D2D5E6B","2021-09-14","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Autre","Maroc","Masculin","14-35",2,"Non","En nature","Autre","Moi et d'autres","Non","Autre","1+","Non","Oui"
"MA1020392DE08B5B75","2021-09-14","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Autre","Maroc","Masculin","14-35",4,"Non","En nature","Commerce","Moi et d'autres","Non","Autre","1","Non","Oui"
"MA1021BFA6A2E4BE6D","2021-09-14","Par téléphone","Low","Low","Yes","Identique","Oui","Très satisfait","Autre","Maroc","Masculin","14-35",10,"Non","En nature","Agriculture/aviculture","Moi et d'autres","Non","Non","0","Non","Non"
"MA102172FC93E38EF3","2021-09-14","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Autre","Maroc","Masculin","36+",1,"Non","En nature","Transport","Moi uniquement","Non","Non","0","Non","Non"
"MA10216DB875911ACF","2021-09-14","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Autre","Maroc","Masculin","14-35",2,"Non","En nature","Autre","Moi et d'autres","Non","Autre","1","Non","Oui"
"MA1021394B1804EEA3","2021-09-14","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Autre","Maroc","Masculin","14-35",2,"Non","En nature","Transport","Moi uniquement","Oui","Non","0","Non","Oui"
"MA1021D81CE896A26A","2021-09-14","Par téléphone","Low","Low","No","Pire","Oui","Satisfait","Autre","Maroc","Masculin","14-35",1,"Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Non","Oui"
"MA1021CE2A7CB6AC51","2021-09-14","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Autre","Maroc","Masculin","14-35",2,"Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1020001545","2021-09-29","Par téléphone","High","Low","No","Identique","Partiellement","Très satisfait","Sénégal","Autre","Masculin","36+",12,"Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Non","0","Non","Non"
"MA1018002364","2021-10-04","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Autre","1","Oui","Oui"
"MA1021002460","2021-09-15","Terrain/bureau OIM","High","Low","No","Mieux","Oui","Satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","En nature","Elevage","Moi et d'autres","Oui","Non","0","Non","Non"
"MA1018002275","2021-09-22","Par téléphone","Low","Low","No","Pire","Partiellement","Satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Autre","Moi et d'autres","Non","Autre","1+","Oui","Oui"
"BF1018001108","2021-09-22","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","36+",4,"Non","En nature","Elevage","Moi uniquement","Oui","Non","0","Non","Oui"
"MA1021001846","2021-09-22","Par téléphone","Low","Low","Yes","Pire","Non","Très satisfait","Sénégal","Maroc","Masculin","14-35",4,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Non"
"MA1019001234","2021-09-22","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",5,"Non","En nature","Transport","Moi uniquement","Oui","Autre","1+","Oui","Non"
"SN1020001415","2021-09-22","Par téléphone","Low","High","Yes","Pire","Non","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Oui"
"NE1020X02146","2021-09-22","Par téléphone","Low","High","Yes","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","36+",2,"Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui"
"MA1018002254","2021-09-22","Par téléphone","High","High","Yes","Mieux","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","En nature","Autre","Moi uniquement","Oui","Non","0","Oui","Oui"
"CH5017X028642","2021-09-22","Par téléphone","Low","High","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","14-35",1,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Oui"
"MA1018002337","2021-09-22","Par téléphone","Low","Low","Yes","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Oui","Oui"
"SN1020001606","2021-09-22","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","36+",8,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Non"
"MA1018002390","2021-09-22","Par téléphone","High","High","Yes","Pire","Non","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","En nature","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui"
"MA1018002251","2021-09-22","Par téléphone","Low","Low","Yes","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi et d'autres","Non","Non","0","Oui","Oui"
"CH5018X003392","2021-09-22","Par téléphone","High","Low","No","Pire","Partiellement","Satisfait","Sénégal","Lybie","Masculin","14-35",3,"Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Non"
"SN1020001418","2021-09-22","Par téléphone","Low","High","No","Pire","Non","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi et d'autres","Oui","Autre","1+","Non","Oui"
"MA1018002343","2021-09-22","Par téléphone","High","High","Yes","Identique","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","En nature","Autre","Moi uniquement","Oui","Autre","1+","Oui","Oui"
"MA1018002330","2021-09-22","Par téléphone","Low","Low","No","Pire","Partiellement","Très satisfait","Sénégal","Autre","Masculin","36+",0,"Non","En nature","Elevage","Moi et d'autres","Oui","Non","0","Oui","Oui"
"NE1019X003687","2021-09-22","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","14-35",2,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1020001599","2021-09-22","Par téléphone","Low","Low","No","Pire","Oui","Satisfait","Sénégal","Lybie","Masculin","14-35",3,"Oui","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Non"
"SN1020001486","2021-09-23","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Non"
"CH5018X009083","2021-09-22","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","36+",2,"Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Oui","Oui"
"MA1018002359","2021-09-23","Par téléphone","High","Low","No","Mieux","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi et d'autres","Oui","Non","0","Oui","Non"
"NE1020X021490","2021-09-23","Par téléphone","High","High","No","Pire","Partiellement","Très satisfait","Sénégal","Maroc","Masculin","14-35",1,"Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Non"
"SN1020001652","2021-09-23","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Autre","Féminin","14-35",0,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui"
"CH5018X003427","2021-09-23","Par téléphone","High","High","No","Pire","Partiellement","Très satisfait","Sénégal","Lybie","Masculin","14-35",1,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Autre","1+","Oui","Oui"
"SN1020001560","2021-09-23","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1020001400","2021-09-23","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","14-35",4,"Non","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui"
"CH5018X018876","2021-09-23","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","14-35",1,"Non","En nature","Agriculture/aviculture","Moi et d'autres","Oui","Autre","1+","Oui","Oui"
"SN1019001751","2021-09-23","Par téléphone","Low","Low","No","Pire","Non","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Autre","1+","Oui","Non"
"SN1020001421","2021-09-23","Par téléphone","Low","Low","Yes","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Oui"
"MA1020003544","2021-09-23","Par téléphone","High","Low","No","Identique","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",1,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui"
"SN1020001443","2021-09-23","Par téléphone","Low","Low","No","Identique","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Elevage","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1019001764","2021-09-23","Par téléphone","High","High","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Elevage","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1020001432","2021-09-23","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Autre","1+","Oui","Oui"
"CH5017X028730","2021-09-23","Par téléphone","High","Low","No","Pire","Non","Très satisfait","Sénégal","Lybie","Masculin","14-35",3,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Non"
"NE1019X070401","2021-09-24","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Algerie","Masculin","36+",4,"Non","En nature","Elevage","Moi uniquement","Oui","Non","0","Non","Non"
"SN1020001436","2021-09-24","Par téléphone","Low","Low","Yes","Pire","N/A (retour non volontaire)","Satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Oui"
"MA1020003854","2021-09-24","Par téléphone","Low","Low","No","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","En nature","Commerce","Moi et d'autres","Non","Autre","1+","Oui","Non"
"SN1019001786","2021-09-24","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Autre","Masculin","36+",0,"Non","En nature","Agriculture/aviculture","Moi et d'autres","Oui","Autre","1+","Oui","Oui"
"SN1020001419","2021-09-24","Par téléphone","High","High","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui"
NA,"2021-09-24","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Algerie","Masculin","36+",2,"Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1020001446","2021-09-24","Par téléphone","Low","Low","Yes","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Autre","Moi et d'autres","Oui","Autre","1+","Oui","Oui"
"SN1019001784","2021-09-24","Par téléphone","Low","High","Yes","Pire","N/A (retour non volontaire)","OK","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Autre","1+","Oui","Oui"
"SN1019001768","2021-09-24","Par téléphone","High","High","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Autre","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1020001435","2021-09-24","Par téléphone","Low","Low","Yes","Pire","N/A (retour non volontaire)","Satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Autre","1+","Oui","Oui"
"NE1020X001211","2021-09-24","Par téléphone","Low","Low","No","Ne sait pas","Oui","Très satisfait","Sénégal","Algerie","Masculin","14-35",3,"Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1020001497","2021-09-24","Par téléphone","High","High","No","Identique","Oui","Très satisfait","Sénégal","Lybie","Masculin","14-35",2,"Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Autre","1+","Oui","Oui"
"SN1019001763","2021-09-27","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","En nature","Elevage","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1019001766","2021-09-27","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Commerce","Moi uniquement","Oui","Autre","1+","Oui","Oui"
"EG1020001048","2021-09-27","Par téléphone","Low","Low","No","Pire","Partiellement","Satisfait","Sénégal","Lybie","Masculin","36+",1,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Oui"
"SN1019001778","2021-09-27","Par téléphone","High","High","Yes","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Autre","Moi uniquement","Oui","Autre","1+","Oui","Oui"
"SN1019001785","2021-09-27","Par téléphone","Low","Low","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Oui","Oui"
"CH5017X014026","2021-09-27","Par téléphone","Low","Low","No","Pire","Partiellement","Très satisfait","Sénégal","Lybie","Masculin","36+",3,"Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Non","0","Oui","Oui"
"SN1019001748","2021-09-27","Par téléphone","High","High","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui"
"SN1021001111","2021-09-27","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","14-35",1,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui"
"NE1019X027354","2021-09-27","Par téléphone","High","Low","No","Pire","Partiellement","Très satisfait","Sénégal","Lybie","Masculin","14-35",1,"Non","En nature","Commerce","Moi et d'autres","Oui","Non","0","Oui","Oui"
"SN1020001444","2021-09-27","Par téléphone","Low","Low","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","14-35",0,"Non","En nature","Elevage","Moi uniquement","Oui","Non","0","Oui","Oui"
