"ID_1","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","MicroBusinessLevel","TrainingType","TrainingDuration","DateOfReturn","ReintegrationDate","ReturnToReintegration","AssistanceDuration"
"MA1021001244","2021-09-08","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","18-35 ans","3","Non","Mixte","Commerce","Moi uniquement","Oui","Oui","2","Non","Oui","Individual","NULL","NULL","2021/03/25 00:00:00","2021-07-18",115,51.916666666666664
"MA1020003875","2021-09-10","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","18-35 ans","4","Non","Mixte","Commerce","Moi uniquement","Oui","Non",NA,"Oui Positivement","Oui","Individual","NULL","NULL","2021/02/18 00:00:00","2021-06-21",123,80.91666666666667
"MA1021003063","2021-09-13","Par téléphone","Autre","Souhaite ne pas répondre","Souhaite ne pas répondre","Souhaite ne pas répondre","Partiellement","Souhaite ne pas répondre","Sénégal","Maroc","Masculin","18-35 ans","2","Non","Mixte","Elevage","Moi uniquement","Oui","Souhaite ne pas répondre",NA,"Non","Souhaite ne pas répondre","NULL","NULL","NULL","2021/07/29 00:00:00","2022-04-30",275,-229.08333333333334
"MA1021002884","2021-09-13","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Mali","Maroc","Masculin","18-35 ans","2","Non","Mixte","Commerce","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2021/08/13 00:00:00","2021-08-16",3,27.916666666666668
"MA1020DE573D2D5E6B","2021-09-14","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Mali","Maroc","Masculin","18-35 ans","2","Non","En nature","Couture","Moi et membres de la communauté","Non","Oui","2","Non","Oui","Individual","NULL","NULL","2021/02/25 00:00:00","2021-04-13",47,153.91666666666666
"NE1019X073495X1","2021-09-14","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Souhaite ne pas répondre","OK","Sierra-Leone","Niger","Masculin","18-35 ans","1","Non","En nature","Autre","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/11/21 00:00:00","2019-12-31",40,622.9166666666666
"MA1020392DE08B5B75","2021-09-14","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Mali","Maroc","Masculin","18-35 ans","4","Non","En nature","Commerce","Moi et membres de la communauté","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2021/01/22 00:00:00","2021-08-03",193,41.916666666666664
"NE1019X077844X1","2021-09-14","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Pire","Partiellement","OK","Sierra-Leone","Niger","Masculin","18-35 ans","1","Non","En nature","Bâtiment/construction","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/12/16 00:00:00","2019-12-31",15,622.9166666666666
"MA1021BFA6A2E4BE6D","2021-09-14","Par téléphone","Fermée","Non","Oui régulièrement","Identique","Oui","Très satisfait","Mali","Maroc","Masculin","18-35 ans","10","Non","En nature","Agriculture","Moi et membres de la communauté","Non","Non",NA,"Non","Non","Individual","NULL","NULL","2021/03/17 00:00:00","2021-06-30",105,75.91666666666667
"MA102172FC93E38EF3","2021-09-14","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Mali","Maroc","Masculin","36-65 ans","1","Non","En nature","Transport (Moto - Auto et autres)","Moi uniquement","Non","Non",NA,"Non","Non","Individual","Business development/management training","6","2021/05/20 00:00:00","2021-08-08",80,36.916666666666664
"MA10216DB875911ACF","2021-09-14","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Mali","Maroc","Masculin","18-35 ans","2","Non","En nature","Autre","Moi et membres de la communauté","Non","Oui","1","Non","Oui","Individual","Vocational training","6","2021/05/20 00:00:00","2021-09-15",118,-1.0833333333333333
"MA1021394B1804EEA3","2021-09-14","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Mali","Maroc","Masculin","18-35 ans","2","Non","En nature","Transport (Moto - Auto et autres)","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","Business development/management training","6","2021/05/20 00:00:00","2021-08-08",80,36.916666666666664
"MA1021D81CE896A26A","2021-09-14","Par téléphone","Fermée","Non","Non","Pire","Oui","Satisfait","Mali","Maroc","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi et membres de la communauté","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2021/08/13 00:00:00","2021-08-16",3,28.916666666666668
"MA1021CE2A7CB6AC51","2021-09-14","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Mali","Maroc","Masculin","18-35 ans","2","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2021/08/13 00:00:00","2021-08-16",3,28.916666666666668
"SN1020001545","2021-09-29","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Identique","Partiellement","Très satisfait","Sénégal","Guinee Equatorial","Masculin","36-65 ans","12","Non","En nature","Agriculture","Moi uniquement","Non","Non",NA,"Non","Non","Individual","NULL","NULL","2019/11/12 00:00:00","2020-09-01",294,392.9166666666667
"MA1018002364","2021-10-04","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Oui","Oui","1","Oui Négativement","Oui","Individual","NULL","NULL","2018/07/01 00:00:00","2022-09-01",1523,-332.0833333333333
"MA1021002460","2021-09-15","Bureau OIM","Actuellement ouvert et les activités marchent bien","Non","Non","Mieux","Oui","Satisfait","Sénégal","Maroc","Masculin","18-35 ans","2","Non","En nature","Elevage","Moi et membres de la communauté","Oui","Non",NA,"Non","Non","Individual","NULL","NULL","2021/05/12 00:00:00","2021-06-21",40,85.91666666666667
"NE1019X077881X1","2021-09-20","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Ne sait pas","OK","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Autre","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/12/16 00:00:00","2019-12-31",15,628.9166666666666
"CH5021X001145X1","2021-09-20","Bureau OIM","Actuellement ouvert et les activités marchent bien","Partiellement","Souhaite ne pas répondre","Ne sait pas","Souhaite ne pas répondre","OK","Sierra-Leone","Niger","Masculin","18-35 ans","1","Non","En nature","Autre","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2021/04/22 00:00:00","2021-06-17",56,94.91666666666667
"NE1019X077788X1","2021-09-20","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","OK","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Autre","Moi uniquement","Oui","Oui","1","Oui Négativement","Oui","Individual","NULL","NULL","2019/12/16 00:00:00","2019-12-31",15,628.9166666666666
"NE1019X039996X1","2021-09-21","Par téléphone","Fermée","Non","Souhaite ne pas répondre","Pire","Ne sait pas","OK","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Bâtiment/construction","Moi uniquement","Oui","Non",NA,"Oui Négativement","Souhaite ne pas répondre","Individual","NULL","NULL","2019/07/16 00:00:00","2019-08-31",46,751.9166666666666
"NE1019X071208X1","2021-09-21","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Souhaite ne pas répondre","Pire","Oui","OK","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/11/06 00:00:00","2022-01-14",800,-115.08333333333333
"NE101982339EDEC456","2021-09-21","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Pire","Souhaite ne pas répondre","Satisfait","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Autre","Moi uniquement","Oui","Non",NA,"Oui Négativement","Non","Individual","NULL","NULL","2019/03/12 00:00:00","2019-07-31",141,782.9166666666666
"MA1018002275","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Partiellement","Satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Couture","Moi et membres de la communauté","Non","Oui","3","Oui Négativement","Oui","Individual","NULL","NULL","2018/06/22 00:00:00","2022-04-27",1405,-217.08333333333334
"NE1019X077816X1","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Souhaite ne pas répondre","OK","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Non","Individual","NULL","NULL","2019/12/16 00:00:00","2019-12-31",15,630.9166666666666
"BF1018001108","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","36-65 ans","4","Non","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/11/14 00:00:00","2021-04-19",887,155.91666666666666
"MA1021001846","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Oui régulièrement","Pire","Non","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","4","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Oui Négativement","Non","Individual","NULL","NULL","2021/04/08 00:00:00","2021-07-07",90,76.91666666666667
"SN1020001415","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Oui régulièrement","Pire","Non","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2022-04-30",1368,-220.08333333333334
"NE1020X02146","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Oui régulièrement","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","36-65 ans","2","Non","En espèces","Commerce","Moi uniquement","Oui","Non",NA,"Non","Oui",NA,NA,NA,NA,NA,NA,NA
"NE1019X067164X1","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Souhaite ne pas répondre","Pire","Ne sait pas","Satisfait","Sierra-Leone","Niger","Masculin","18-35 ans",NA,"Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/10/18 00:00:00","2019-12-31",74,630.9166666666666
"MA1018002254","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Oui régulièrement","Mieux","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","0","Non","En nature","Pêche","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2018/06/24 00:00:00","2020-09-22",821,364.9166666666667
"CH5017X028642","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","18-35 ans","1","Non","En nature","Agriculture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Vocational training","1","2017/11/14 00:00:00","2022-06-09",1668,-260.0833333333333
"MA1018002337","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Oui régulièrement","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Non","Oui","1","Oui Négativement","Oui","Individual","Business development/management training","1","2018/06/29 00:00:00","2021-10-28",1217,-36.083333333333336
"NE1019X040821X1","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Souhaite ne pas répondre","OK","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Artisan-Ouvrier","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/07/26 00:00:00","2019-08-31",36,752.9166666666666
"SN1020001606","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","36-65 ans","8","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Non","Individual","Business development/management training","1","2020/01/22 00:00:00","2021-07-28",553,55.916666666666664
"MA1018002390","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Oui régulièrement","Pire","Non","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","0","Non","En nature","Bâtiment/construction","Moi uniquement","Non","Oui","4 et plus","Oui Négativement","Oui","Individual","NULL","NULL","2018/07/03 00:00:00","2020-09-22",812,364.9166666666667
"MA1018002251","2021-09-22","Par téléphone","Fermée","Partiellement","Oui régulièrement","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","0","Non","En nature","Aviculture","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2018/06/24 00:00:00","2020-09-22",821,364.9166666666667
"CH5018X003392","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent bien","Non","Non","Pire","Partiellement","Satisfait","Sénégal","Lybie","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Non","Individual","NULL","NULL","2018/02/05 00:00:00","2020-09-03",941,383.9166666666667
"SN1020001418","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Non","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi avec des migrants de retour","Oui","Oui","4 et plus","Non","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2022-04-27",1365,-217.08333333333334
"MA1018002343","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Oui régulièrement","Identique","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","0","Non","En nature","Couture","Moi uniquement","Oui","Oui","3","Oui Négativement","Oui","Individual","Business development/management training","1","2018/06/29 00:00:00","2022-04-30",1401,-220.08333333333334
"MA1018002330","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Pire","Partiellement","Très satisfait","Sénégal","Espagne","Masculin","36-65 ans","0","Non","En nature","Elevage","Moi avec des migrants de retour","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2018/06/29 00:00:00","2020-09-10",804,376.9166666666667
"NE1019X003687","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","18-35 ans","2","Non","En nature","Agriculture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Vocational training","1","2019/02/14 00:00:00","2021-06-02",839,111.91666666666667
"SN1020001599","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Pire","Oui","Satisfait","Sénégal","Lybie","Masculin","18-35 ans","3","Oui","En nature","Couture","Moi uniquement","Non","Non",NA,"Oui Négativement","Non","Individual","Vocational training","1","2018/11/18 00:00:00","2022-03-28",1226,-187.08333333333334
"SN1020001486","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","18-35 ans","0","Non","En nature","Aviculture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Non","Individual","NULL","NULL","2018/03/22 00:00:00","2020-06-28",829,451.9166666666667
"CH5018X009083","2021-09-22","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","36-65 ans","2","Non","En nature","Aviculture","Moi uniquement","Non","Oui","1","Oui Négativement","Oui","Individual","NULL","NULL","2018/03/22 00:00:00","2021-06-01",1167,112.91666666666667
"MA1018002359","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Mieux","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Oui Négativement","Non","Individual","Vocational training","1","2018/07/01 00:00:00","2021-06-02",1067,112.91666666666667
"NE1020X021490","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Partiellement","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Non","Individual","NULL","NULL","2020/12/03 00:00:00","2021-02-23",82,211.91666666666666
"NE1019X064863X1","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Partiellement","Satisfait","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/09/27 00:00:00","2019-12-31",95,631.9166666666666
"CH5018X003427","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Partiellement","Très satisfait","Sénégal","Lybie","Masculin","18-35 ans","1","Non","En nature","Agriculture","Moi uniquement","Oui","Oui","2","Oui Négativement","Oui","Individual","NULL","NULL","2018/02/05 00:00:00","2020-08-06",913,412.9166666666667
"NE1019X077823X1","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Ne sait pas","Satisfait","Sierra-Leone","Niger","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/12/16 00:00:00","2019-12-31",15,631.9166666666666
"SN1020001560","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","18-35 ans","0","Non","En nature","Aviculture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2018/02/14 00:00:00","2022-04-27",1533,-216.08333333333334
"SN1020001400","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","18-35 ans","4","Non","En nature","Couture","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2018/01/21 00:00:00","2022-02-12",1483,-142.08333333333334
"CH5018X018876","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","18-35 ans","1","Non","En nature","Aviculture","Moi avec des migrants de retour","Oui","Oui","3","Oui Négativement","Oui","Individual","Vocational training","1","2018/06/27 00:00:00","2022-03-28",1370,-186.08333333333334
"SN1019001751","2021-09-23","Par téléphone","Fermée","Partiellement","Non","Pire","Non","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Oui","Oui","4 et plus","Oui Négativement","Non","Individual","NULL","NULL","2019/08/29 00:00:00","2020-09-22",390,365.9166666666667
"SN1020001421","2021-09-23","Par téléphone","Fermée","Partiellement","Oui irrégulièrement","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2022-04-30",1368,-219.08333333333334
"MA1020003544","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Identique","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2020/11/26 00:00:00","2021-01-15",50,250.91666666666666
"SN1020001443","2021-09-23","Par téléphone","Fermée","Non","Non","Identique","N/A (retour non volontaire)","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2022-04-25",1363,-214.08333333333334
"SN1019001764","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2019/08/29 00:00:00","2022-04-30",975,-219.08333333333334
"SN1020001432","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Oui","Oui","2","Oui Négativement","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2022-09-01",1492,-343.0833333333333
"CH5017X028730","2021-09-23","Par téléphone","Actuellement ouvert et les activités marchent bien","Non","Non","Pire","Non","Très satisfait","Sénégal","Lybie","Masculin","18-35 ans","3","Non","En nature","Agriculture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Non","Individual","Vocational training","1","2017/11/14 00:00:00","2022-04-30",1628,-219.08333333333334
"NE1019X070401","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Pire","Oui","Très satisfait","Sénégal","Algerie","Masculin","36-65 ans","4","Non","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Non","Non","Individual","NULL","NULL","2019/11/06 00:00:00","2020-09-10",309,378.9166666666667
"SN1020001436","2021-09-24","Par téléphone","Fermée","Partiellement","Oui irrégulièrement","Pire","N/A (retour non volontaire)","Satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2021-09-23",1149,0.9166666666666666
"MA1020003854","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","18-35 ans","2","Non","En nature","Commerce","Moi et membres de la communauté","Non","Oui","4 et plus","Oui Négativement","Non","Individual","NULL","NULL","2021/02/18 00:00:00","2021-04-24",65,152.91666666666666
"SN1019001786","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Sénégal","Espagne","Masculin","36-65 ans","0","Non","En nature","Agriculture","Moi avec des migrants de retour","Oui","Oui","4 et plus","Oui Négativement","Oui","Individual","NULL","NULL","2019/08/29 00:00:00","2020-09-22",390,366.9166666666667
"SN1020001419","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2022-04-30",1368,-218.08333333333334
NA,"2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Sénégal","Algerie","Masculin","36-65 ans","2","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA
"SN1020001446","2021-09-24","Par téléphone","Fermée","Partiellement","Oui régulièrement","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Pêche","Moi avec des migrants de retour","Oui","Oui","4 et plus","Oui Négativement","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2022-01-26",1274,-124.08333333333333
"SN1019001784","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Oui irrégulièrement","Pire","N/A (retour non volontaire)","OK","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Oui","Oui","2","Oui Négativement","Oui","Individual","Business development/management training","1","2019/08/29 00:00:00","2021-11-22",816,-59.083333333333336
"SN1019001768","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Couture","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/08/29 00:00:00","2021-07-01",672,84.91666666666667
"SN1020001435","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Oui irrégulièrement","Pire","N/A (retour non volontaire)","Satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi uniquement","Oui","Oui","3","Oui Négativement","Oui","Individual","Business development/management training","1","2018/08/01 00:00:00","2021-09-23",1149,0.9166666666666666
"NE1020X001211","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Ne sait pas","Oui","Très satisfait","Sénégal","Algerie","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2020/01/15 00:00:00","2021-03-22",432,185.91666666666666
"SN1020001497","2021-09-24","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Identique","Oui","Très satisfait","Sénégal","Lybie","Masculin","18-35 ans","2","Non","En nature","Agriculture","Moi uniquement","Non","Oui","4 et plus","Oui Négativement","Oui","Individual","Business development/management training","1","2020/11/30 00:00:00","2021-04-02",123,174.91666666666666
"SN1019001763","2021-09-27","Par téléphone","Fermée","Partiellement","Non","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","0","Non","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2019/08/29 00:00:00","2022-04-30",975,-215.08333333333334
"SN1019001766","2021-09-27","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Oui","Oui","2","Oui Négativement","Oui","Individual","NULL","NULL","2019/08/29 00:00:00","2020-09-22",390,369.9166666666667
"EG1020001048","2021-09-27","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Partiellement","Satisfait","Sénégal","Lybie","Masculin","36-65 ans","1","Non","En nature","Agriculture","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/01/17 00:00:00","2022-03-28",801,-182.08333333333334
"SN1019001778","2021-09-27","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Oui régulièrement","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Espagne","Masculin","18-35 ans","0","Non","En nature","Pêche","Moi uniquement","Oui","Oui","2","Oui Négativement","Oui","Individual","NULL","NULL","2019/08/29 00:00:00","2021-06-03",644,115.91666666666667
