"Project","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","TrainingType","TimeToReceiveSupport","ReceivedSupportAs","AssistanceType","BusinessType","BusinessMembers","MicroBusinessLevel","SupportTotalValue","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Identique","Non","Très satisfait","Burkina Faso","Cameroun","Masculin","18-35 ans",0,"Non",NA,24,"En nature","Micro Business","Elevage","Moi uniquement","Individual",248000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","N/A (retour non volontaire)","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",0,"Non",NA,104,"En nature","Micro Business","Commerce","Moi uniquement","Individual",323000,"Non","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Mieux","Oui","Satisfait","Burkina Faso","Lybie","Masculin","36-65 ans",5,"Non","Vocational training",120,"En espèces","Micro Business","Agriculture","Moi uniquement","Individual",439000,"Oui","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","N/A (retour non volontaire)","OK","Burkina Faso","Niger","Masculin","18-35 ans",3,"Non",NA,99,"En nature","Micro Business","Agriculture","Moi uniquement","Individual",253500,"Non","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Identique","N/A (retour non volontaire)","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans",2,"Non",NA,24,"En nature","Micro Business","Elevage","Moi uniquement","Individual",503000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","N/A (retour non volontaire)","OK","Burkina Faso","Niger","Masculin","18-35 ans",2,"Non",NA,138,"En nature","Micro Business","Agriculture","Moi uniquement","Individual",350000,"Non","Souhaite ne pas répondre",NA,"Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans",5,"Non",NA,76,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",12700,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Mieux","N/A (retour non volontaire)","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",0,"Non",NA,64,"En nature","Micro Business","Commerce","Moi uniquement","Individual",300000,"Non","Souhaite ne pas répondre",NA,"Non"
"JI","Par téléphone","High","Low","Non","Ne sait pas","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans",1,"Non",NA,128,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",12700,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","N/A (retour non volontaire)","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",2,"Non",NA,96,"En nature","Micro Business","Elevage","Moi uniquement","Individual",500000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans",1,"Non",NA,128,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",12700,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Satisfait","Ghana","Niger","Masculin","36-65 ans",1,"Non",NA,128,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",12700,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Mieux","N/A (retour non volontaire)","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans",2,"Non",NA,72,"En nature","Micro Business","Agriculture","Moi uniquement","Individual",400000,"Non","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","N/A (retour non volontaire)","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",3,"Non","Vocational training",104,"En nature","Micro Business","Commerce","Moi uniquement","Individual",234000,"Oui","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","High","Non","Identique","Oui","Satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",2,"Non","Non spécifié",180,"En nature","Micro Business","Commerce","Moi uniquement","Individual",1875000,"Oui","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",3,"Oui",NA,28,"En nature","Micro Business","Commerce","Moi uniquement","Individual",9639,"Non","Oui","1","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","N/A (retour non volontaire)","OK","Burkina Faso","Niger","Masculin","18-35 ans",3,"Non","Non spécifié",92,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",400000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Mieux","Oui","Très satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",8,"Non","Vocational training",12,"En nature","Micro Business","Elevage","Moi uniquement","Individual",266000,"Oui","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Mieux","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans",4,"Non",NA,24,"En nature","Micro Business","Elevage","Moi uniquement","Individual",NA,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Non","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",3,"Non",NA,67,"En nature","Micro Business","Elevage","Moi uniquement","Individual",200000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Mieux","N/A (retour non volontaire)","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",1,"Non",NA,28,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",200000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Mieux","Oui","Pas satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",4,"Non","Non spécifié",132,"Mixte","Micro Business","Commerce","Moi uniquement","Individual",425000,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Mieux","N/A (retour non volontaire)","OK","Burkina Faso","Niger","Masculin","18-35 ans",3,"Non",NA,64,"Mixte","Micro Business","Commerce","Moi uniquement","Individual",150000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","N/A (retour non volontaire)","OK","Burkina Faso","Niger","Masculin","18-35 ans",1,"Non",NA,40,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",175000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Oui irrégulièrement","Mieux","N/A (retour non volontaire)","Pas satisfait","Burkina Faso","Lybie","Masculin","36-65 ans",3,"Non",NA,28,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",200000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","18-35 ans",2,"Non",NA,24,"En nature","Micro Business","Commerce","Moi uniquement","Individual",11361,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",5,"Non",NA,38,"Mixte","Micro Business","Agriculture","Moi uniquement","Individual",500000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Mieux","N/A (retour non volontaire)","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans",1,"Non",NA,78,"Mixte","Micro Business","Elevage","Moi uniquement",NA,300000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","N/A (retour non volontaire)","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans",0,"Non",NA,60,"Mixte","Micro Business","Elevage","Moi uniquement",NA,250000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Mieux","N/A (retour non volontaire)","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",0,"Non",NA,36,"Mixte","Micro Business","Commerce","Moi uniquement",NA,500000,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Mieux","N/A (retour non volontaire)","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans",7,"Non",NA,88,"Mixte","Micro Business","Bâtiment/construction","Moi uniquement",NA,322000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Mieux","Oui","Satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",3,"Non",NA,156,"Mixte","Micro Business","Commerce","Moi uniquement",NA,332000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","OK","Burkina Faso","Lybie","Masculin","36-65 ans",3,"Non","Vocational training",144,"Mixte","Micro Business","Agriculture","Moi uniquement","Individual",300000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","N/A (retour non volontaire)","OK","Burkina Faso","Niger","Masculin","18-35 ans",0,"Non",NA,36,"Mixte","Micro Business","Commerce","Moi uniquement",NA,215000,"Oui","Oui","1","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Mieux","N/A (retour non volontaire)","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",0,"Non",NA,96,"Mixte","Micro Business","Bâtiment/construction","Moi uniquement","Individual",292500,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","N/A (retour non volontaire)","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",0,"Non",NA,72,"Mixte","Micro Business","Bâtiment/construction","Moi uniquement",NA,365000,"Non","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Identique","Oui","Satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",2,"Non",NA,176,"Mixte","Micro Business","Commerce","Moi uniquement","Individual",100000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Mieux","Oui","Satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",4,"Non",NA,80,"Mixte","Micro Business","Elevage","Moi uniquement",NA,287500,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","OK","Burkina Faso","Lybie","Masculin","18-35 ans",4,"Non",NA,52,"Mixte","Micro Business","Elevage","Moi uniquement",NA,550000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Mieux","Oui","Satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",2,"Non","Non spécifié",148,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",6020000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","N/A (retour non volontaire)","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans",3,"Non",NA,140,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",830000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",3,"Non","Non spécifié",156,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",7000000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","N/A (retour non volontaire)","Satisfait","Burkina Faso","Cameroun","Masculin","18-35 ans",0,"Non",NA,104,"Mixte","Micro Business","Artisan-Ouvrier","Moi uniquement",NA,230000,"Souhaite ne pas répondre","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Pas du tout satisfait","Burkina Faso","Lybie","Masculin","36-65 ans",1,"Non","Vocational training",208,"Mixte","Micro Business","Agriculture","Moi uniquement","Community",23000000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Pas du tout satisfait","Burkina Faso","Lybie","Masculin","36-65 ans",2,"Non","Vocational training",208,"Mixte","Micro Business","Agriculture","Moi uniquement","Community",20000000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Non","Pas du tout satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",1,"Non","Vocational training",8,"Mixte","Micro Business","Agriculture","Moi uniquement","Community",25000000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Pas du tout satisfait","Burkina Faso","Lybie","Masculin","36-65 ans",2,"Non","Vocational training",104,"Mixte","Micro Business","Agriculture","Moi avec des migrants de retour et des membres d’une communauté","Community",10000000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Pas du tout satisfait","Burkina Faso","Lybie","Masculin","18-35 ans",2,"Non","Vocational training",20,"Mixte","Micro Business","Agriculture","Moi avec des migrants de retour et des membres d’une communauté","Community",25000000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Oui irrégulièrement","Mieux","Partiellement","OK","Burkina Faso","Lybie","Masculin","18-35 ans",2,"Non",NA,144,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",500000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Mieux","Oui","Très satisfait","Burkina Faso","Niger","Masculin","36-65 ans",4,"Non",NA,32,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Ne sait pas","Oui","Satisfait","Tchad","Niger","Masculin","18-35 ans",0,"Non",NA,2,"En nature","Micro Business","Commerce","Moi uniquement",NA,1300,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Oui régulièrement","Pire","Oui","Satisfait","Tchad","Algerie","Masculin","14-17 ans",1,"Non",NA,2,"En nature","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",800000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Tchad","Algerie","Masculin","18-35 ans",0,"Non",NA,7,"En nature","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",786000,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Tchad","Algerie","Masculin","18-35 ans",0,"Non",NA,6,"En nature","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",786000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Oui régulièrement","Pire","Non","Pas satisfait","Tchad","Autre","Féminin","18-35 ans",3,"Non",NA,12,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Oui irrégulièrement","Pire","Oui","OK","Tchad","Niger","Féminin","18-35 ans",24,"Non",NA,24,"En nature","Micro Business","Commerce","Moi et membres de la communauté","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Tchad","Lybie","Féminin","18-35 ans",4,"Non",NA,16,"En nature","Micro Business","Commerce","Moi uniquement","Individual",700000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","High","Oui irrégulièrement","Pire","Partiellement","Satisfait","Tchad","Mali","Féminin","18-35 ans",40,"Non",NA,8,"En nature","Micro Business","Commerce","Moi uniquement","Individual",800000,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Très satisfait","Burkina Faso","Algerie","Féminin","18-35 ans",1,"Non",NA,28,"Mixte","Micro Business","Couture","Moi uniquement","Individual",125000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Autre","Masculin","36-65 ans",0,"Non",NA,4,"En nature","Micro Business","Agriculture","Moi uniquement","Individual",650000,"Oui","Oui","2","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Oui irrégulièrement","Pire","Oui","Pas satisfait","Burkina Faso","Algerie","Masculin","36-65 ans",0,"Non",NA,36,"En nature","Micro Business","Commerce","Moi uniquement","Individual",470000,"Non","Oui","1","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Pas du tout satisfait","Burkina Faso","Niger","Masculin","36-65 ans",0,"Non",NA,52,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",200000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Partiellement","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",0,"Non",NA,36,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Partiellement","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",3,"Non",NA,40,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",800000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","High","Non","Pire","Oui","Satisfait","Burkina Faso","Algerie","Masculin","36-65 ans",2,"Non",NA,52,"Mixte","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",141000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",3,"Non","Vocational training",104,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",800000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",1,"Non",NA,36,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",750000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",5,"Non",NA,36,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",750000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",2,"Oui",NA,64,"Mixte","Micro Business","Commerce","Moi uniquement","Individual",300000,"Oui","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",0,"Non",NA,64,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",1000000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Identique","N/A (retour non volontaire)","Pas satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",0,"Oui",NA,104,"Mixte","Micro Business","Autre","Moi uniquement",NA,500000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Oui régulièrement","Pire","Non","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",5,"Non",NA,36,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",107000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","36-65 ans",0,"Non",NA,40,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",550000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Satisfait","Burkina Faso","Algerie","Masculin","36-65 ans",0,"Non",NA,40,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",500000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",3,"Oui","Vocational training",24,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",400000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Partiellement","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans",2,"Non","Vocational training",52,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",400000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Non","Satisfait","Burkina Faso","Niger","Masculin","18-35 ans",4,"Non","Vocational training",12,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",150000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Mieux","Non","Pas du tout satisfait","Burkina Faso","Niger","Masculin","18-35 ans",1,"Oui","Vocational training",104,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",400000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Pas du tout satisfait","Burkina Faso","Lybie","Masculin","36-65 ans",17,"Oui",NA,112,"Mixte","Micro Business","Commerce","Moi uniquement","Individual",150000,"Oui","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Partiellement","Très satisfait","Burkina Faso","Algerie","Masculin","36-65 ans",4,"Non",NA,68,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",800000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Partiellement","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",4,"Non",NA,40,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",750000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Mieux","Non","Satisfait","Burkina Faso","Algerie","Masculin","36-65 ans",3,"Non",NA,156,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",500000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Partiellement","Satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",0,"Non",NA,124,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Partiellement","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",3,"Non",NA,40,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",400000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",5,"Non",NA,24,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",8700,"Non","Non",NA,"Oui Positivement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Non","Satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",3,"Non",NA,80,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",400000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Souhaite ne pas répondre","OK","Sierra-Leone","Niger","Masculin","18-35 ans",1,"Non",NA,NA,"En nature","Micro Business","Autre","Moi uniquement",NA,11600000,"Oui","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Partiellement","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",0,"Non",NA,36,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",550000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",0,"Non",NA,36,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",750000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",1,"Non","Vocational training",88,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",650000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",2,"Non",NA,92,"Mixte","Micro Business","Commerce","Moi uniquement","Individual",325000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","Satisfait","Burkina Faso","Algerie","Masculin","36-65 ans",1,"Non",NA,92,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",300000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Satisfait","Burkina Faso","Lybie","Masculin","36-65 ans",3,"Non",NA,84,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",530000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",1,"Non",NA,36,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",800000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Partiellement","Satisfait","Burkina Faso","Algerie","Masculin","36-65 ans",1,"Non","Non spécifié",104,"Mixte","Micro Business","Elevage","Moi uniquement","Individual",750000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Tchad","Niger","Masculin","18-35 ans",4,"Non",NA,3,"En nature","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",786000,"Oui","Non",NA,"Oui Négativement"
